Job_ID,Job_URL,Title,Type,City,Suburb,Industry,Hiring_Ent,Summary,Post_Date
34393161,https://www.seek.com.au/job/34393161,Data Administrator,Full Time,Sydney,North West & Hills District,Administration & Office Support,Electrical Testing Services,We are seeking a highly motivated candidate with solid Data Administration knowledge to join our expanding company.,2017-09-15T14:00:00Z
34402692,https://www.seek.com.au/job/34402692,Microsoft SQL BI Data Analyst,Full Time,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Genesis IT&T P/L,Microsoft SQL BI Data Analyst - Market leading company - Alexandria location - Close to transport,2017-09-14T01:15:47Z
34265791,https://www.seek.com.au/job/34265791,Data Analyst,Full Time,ACT,,Information & Communication Technology,Callida Resourcing,We are seeking an experienced Data Analyst to work for a Not For Profit Organisation.,2017-09-14T00:39:49Z
34407935,https://www.seek.com.au/job/34407935,Billing Data Analyst,Contract/Temp,Melbourne,CBD & Inner Suburbs,"Mining, Resources & Energy",Optimum Recruitment,"Immediate start, short walk to Southern Cross station, modern office and facility, 3 month assignment with view of extension",2017-09-14T06:45:38Z
34404002,https://www.seek.com.au/job/34404002,Data Analyst,Contract/Temp,Sydney,,Information & Communication Technology,Launch Recruitment Pty Ltd,Work as a Data Analyst,2017-09-14T02:30:56Z
34403696,https://www.seek.com.au/job/34403696,Data Analyst - Not-For-Profit Sector,Full Time,Sydney,Parramatta & Western Suburbs,Marketing & Communications,Alexander Appointments,Data Analyst role available for someone with a data analyst background. Western Sydney Location. Not for profit organisation.,2017-09-14T02:15:25Z
34409171,https://www.seek.com.au/job/34409171,Financial Data Analyst,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Accounting,KPMG Australia,An exciting opportunity to join a leading professional services firm in Sydney!,2017-09-14T08:25:59Z
34405532,https://www.seek.com.au/job/34405532,Finance Data Analyst,Contract/Temp,Sydney,,"Manufacturing, Transport & Logistics",Compass Group,Join a busy and dynamic group of individuals by offering commercial support to our Procurement team (Fixed Term Contract),2017-09-14T04:19:55Z
34405535,https://www.seek.com.au/job/34405535,Finance Data Analyst,Contract/Temp,Sydney,,Hospitality & Tourism,Compass Group,Join a busy and dynamic group of individuals by offering commercial support to our Procurement team (Fixed Term Contract),2017-09-14T04:19:55Z
34405531,https://www.seek.com.au/job/34405531,Finance Data Analyst,Contract/Temp,Sydney,,Accounting,Compass Group,Join a busy and dynamic group of individuals by offering commercial support to our Procurement team (Fixed Term Contract),2017-09-14T04:19:55Z
34404055,https://www.seek.com.au/job/34404055,Health Policy & Data Analyst | Qatar,Full Time,Sydney,,Healthcare & Medical,Global Career HQ,Experienced Healthcare Analyst to support strategic objectives and provide evidence for health policy decision making at a national level.,2017-09-14T02:34:37Z
34405545,https://www.seek.com.au/job/34405545,Senior Data Analyst | Data Protection | Security,Full Time,Melbourne,,Information & Communication Technology,National Australia Bank,"Utilise your strong data analysis, SPLUNK and Tableau skills and enter an area that is building the Data Loss Protection capability from scratch.",2017-09-14T04:20:29Z
34398917,https://www.seek.com.au/job/34398917,Data Analyst,Contract/Temp,Melbourne,,Information & Communication Technology,S2M,Leading FinTech company require an experienced data analyst to provide data integrity in all relevant information systems,2017-09-13T08:00:41Z
34398700,https://www.seek.com.au/job/34398700,APS5 Data Analyst,Contract/Temp,ACT,,Administration & Office Support,Hays Office Support,APS5 Data Analyst job required for an immediate start ,2017-09-13T07:44:51Z
34397622,https://www.seek.com.au/job/34397622,Data Analyst/Administrator (Data Validation - MS Excel Skills),Contract/Temp,ACT,,Information & Communication Technology,Greythorn,Our client is looking for a Data Analyst/ Information Administrator/Validator with strong Excel skills. High profile Federal Government client.,2017-09-13T06:40:25Z
34396747,https://www.seek.com.au/job/34396747,Data Analyst,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Consulting & Strategy,Australian Energy Market Operator (AEMO),"Want to shape Australia’s energy future? At AEMO, we are currently seeking a Data Analyst for a 12 month fixed term contract.",2017-09-13T05:52:16Z
34396921,https://www.seek.com.au/job/34396921,Data Analyst,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Michael Bailey Associates Pty Ltd,Our client is looking for a Junior Data Insights Analyst who can join the team and hit the ground running!,2017-09-13T06:00:44Z
34395425,https://www.seek.com.au/job/34395425,Data Analyst | SE Suburbs| $95-105k+ Super ,Full Time,Melbourne,Bayside & South Eastern Suburbs,Information & Communication Technology,Robert Half Technology,"A family owned and operated business is looking for a data analyst to join a small, close knit technology team. ",2017-09-13T04:36:49Z
34395232,https://www.seek.com.au/job/34395232,Data Analyst - Migration Project,Contract/Temp,Sydney,Parramatta & Western Suburbs,Accounting,Michael Page,"An opportunity for a very strong Finance Data Analyst has opened up within a large multinational retail organisation, head quartered in Sydney CBD.",2017-09-13T04:25:30Z
34384579,https://www.seek.com.au/job/34384579,Business Data Analyst,Full Time,Sydney,Parramatta & Western Suburbs,Government & Defence,Cumberland Council,Business Data Analyst ,2017-09-12T04:35:09Z
34333751,https://www.seek.com.au/job/34333751,Data Analyst (2 year fixed term contract) - an amazing opportunity!,Contract/Temp,Melbourne,CBD & Inner Suburbs,Information & Communication Technology,JDRF,"Do you have a solution focused approach, possess high levels of quality control and rigor in data management, plus work collaboratively with others?",2017-09-05T23:42:02Z
34312933,https://www.seek.com.au/job/34312933,Data Analyst / Data Scientist - Melbourne,Full Time,Melbourne,CBD & Inner Suburbs,Consulting & Strategy,EY,Rare opportunity for a Data Scientist with a passion to present complex business issues in a simple and easy to digest chunks...,2017-09-04T01:39:21Z
34417735,https://www.seek.com.au/job/34417735,Test Data Management Analyst - Federal Government,Full Time,ACT,,Information & Communication Technology,HiTech Personnel,Seeking an Experienced Test Data Management Analyst - Long Term Contract till 30 June 2018 + Extensions - Great Hourly Rates $$ - APPLY NOW!!,2017-09-15T05:44:19Z
34281867,https://www.seek.com.au/job/34281867,Technical Data Analyst,Contract/Temp,Melbourne,CBD & Inner Suburbs,Information & Communication Technology,GMT People,"Experienced Technical Data Analyst to plan,profile & audit data for data migration & system integration;identify issues to improve data quality.",2017-08-30T06:10:07Z
34271604,https://www.seek.com.au/job/34271604,Junior Data analyst - Ideal for a graduate - Gold Coast,Full Time,Gold Coast,,Information & Communication Technology,Genesis IT&T P/L,Excellent career opportunity for a junior Data analyst and to join a success story on the Gold Coast.,2017-08-29T06:01:13Z
34404342,https://www.seek.com.au/job/34404342,Technical Data Business Analyst,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Peoplebank Australia NSW,Work with the client to elicit data mapping rules and logic for generation of a series of customer documents,2017-09-13T16:56:51Z
34248299,https://www.seek.com.au/job/34248299,Senior Reporting Data Analyst - Telco,Contract/Temp,Melbourne,CBD & Inner Suburbs,Information & Communication Technology,Paxus Australia Pty Ltd,"An initial 03-month contract for a Reporting Data Analyst to join a large telco initiative here in Melbourne.  
",2017-08-25T06:22:46Z
34226540,https://www.seek.com.au/job/34226540,Data Analyst ,Contract/Temp,Perth,Fremantle & Southern Suburbs,Information & Communication Technology,Professional Search Group,Exciting opportunity for an experienced Data Analyst to join a successful thriving business on a 3 month contract. ,2017-08-23T04:59:47Z
